distortion,level,level_numeric,snr_db_mean,name,snr_db,n_clean_kp,n_stage_kp,n_good,good_ratio
haze,0.5,0.5,3.141872703484021,P2045,-2.115071220323782,1000,1000,708,0.708
haze,0.5,0.5,3.141872703484021,P2210,7.906267167456884,1000,1000,458,0.458
haze,0.5,0.5,3.141872703484021,P2257,-0.3082821267200897,1000,1000,778,0.778
haze,0.5,0.5,3.141872703484021,P2278,5.838380669868601,1000,1000,649,0.649
haze,0.5,0.5,3.141872703484021,P2332,5.9761552615503435,1000,1000,840,0.84
haze,0.5,0.5,3.141872703484021,P2352,3.965478989544693,1000,1000,766,0.766
haze,0.5,0.5,3.141872703484021,P2456,2.9845441851226093,1000,1000,922,0.922
haze,0.5,0.5,3.141872703484021,P2528,2.2747921538620504,1000,1000,835,0.835
haze,0.5,0.5,3.141872703484021,P2591,2.9597437639520887,1000,1000,701,0.701
haze,0.5,0.5,3.141872703484021,P2613,-2.371584975023479,1000,1000,866,0.866
haze,0.5,0.5,3.141872703484021,P2724,4.913293274855296,1000,1000,837,0.837
haze,0.5,0.5,3.141872703484021,P2754,7.085367568586637,1000,1000,785,0.785
haze,1.0,1.0,-1.0077252033553779,P0063,3.2152907323175235,1000,1000,807,0.807
haze,1.0,1.0,-1.0077252033553779,P0081,-3.1948242776147207,1000,1000,564,0.564
haze,1.0,1.0,-1.0077252033553779,P0198,-0.9654949811926768,1000,1000,770,0.77
haze,1.0,1.0,-1.0077252033553779,P0308,-2.9190371885040136,1000,1000,644,0.644
haze,1.0,1.0,-1.0077252033553779,P0336,-5.685767931132608,1000,1000,857,0.857
haze,1.0,1.0,-1.0077252033553779,P0345,-3.499576451740745,1000,1000,638,0.638
haze,1.0,1.0,-1.0077252033553779,P0363,-3.339195950882639,1000,1000,587,0.587
haze,1.0,1.0,-1.0077252033553779,P0368,-2.839968472432817,1000,1000,610,0.61
haze,1.0,1.0,-1.0077252033553779,P0377,-4.45875790958379,1000,1000,429,0.429
haze,1.0,1.0,-1.0077252033553779,P0452,-1.306448816763698,1000,1000,775,0.775
haze,1.0,1.0,-1.0077252033553779,P0517,-2.6337791285198087,1000,1000,765,0.765
haze,1.0,1.0,-1.0077252033553779,P0565,-6.024823907121242,1000,1000,870,0.87
haze,1.0,1.0,-1.0077252033553779,P0649,-5.212375653973553,1000,1000,413,0.413
haze,1.0,1.0,-1.0077252033553779,P0699,-3.286180707927388,1000,1000,464,0.464
haze,1.0,1.0,-1.0077252033553779,P0806,1.2793212425153024,1000,1000,567,0.567
haze,1.0,1.0,-1.0077252033553779,P1003,-7.224242106734896,1000,1000,841,0.841
haze,1.0,1.0,-1.0077252033553779,P1029,-2.6859680983951346,1000,1000,743,0.743
haze,1.0,1.0,-1.0077252033553779,P1148,1.2663023037089949,417,510,216,0.5179856115107914
haze,1.0,1.0,-1.0077252033553779,P1158,-2.263395040683667,939,890,556,0.6247191011235955
haze,1.0,1.0,-1.0077252033553779,P1207,11.096570809192324,93,668,72,0.7741935483870968
haze,1.0,1.0,-1.0077252033553779,P1216,10.626127382201172,155,803,143,0.9225806451612903
haze,1.0,1.0,-1.0077252033553779,P1242,3.7656718704473113,1000,1000,631,0.631
haze,1.0,1.0,-1.0077252033553779,P1358,2.2343840047325108,1000,1000,736,0.736
haze,1.0,1.0,-1.0077252033553779,P1522,-3.4716154371810086,1000,1000,745,0.745
haze,1.0,1.0,-1.0077252033553779,P1676,2.0568380606665446,536,862,452,0.8432835820895522
haze,1.0,1.0,-1.0077252033553779,P1693,-1.9092666431754388,825,742,512,0.6900269541778976
haze,1.0,1.0,-1.0077252033553779,P1960,-3.059641652799325,1000,1000,846,0.846
haze,1.0,1.0,-1.0077252033553779,P2002,0.7178100141676964,1000,1000,717,0.717
haze,1.0,1.0,-1.0077252033553779,P2045,-6.2623796195255474,1000,1000,705,0.705
haze,1.0,1.0,-1.0077252033553779,P2210,3.757887282384336,1000,1000,501,0.501
haze,1.0,1.0,-1.0077252033553779,P2257,-4.431120678661079,1000,1000,788,0.788
haze,1.0,1.0,-1.0077252033553779,P2278,1.6961726678617888,1000,1000,676,0.676
haze,1.0,1.0,-1.0077252033553779,P2332,1.8305272220529856,1000,1000,851,0.851
haze,1.0,1.0,-1.0077252033553779,P2352,-0.1780756366915568,1000,1000,776,0.776
haze,1.0,1.0,-1.0077252033553779,P2456,-1.1572081101382818,1000,1000,924,0.924
haze,1.0,1.0,-1.0077252033553779,P2528,-1.86609036829008,1000,1000,847,0.847
